epoch,accuracy,precision,recall,f1_score,auc,loss
1,0.9965249448523857,0.9961803178263846,0.9955345889301019,0.99585734870317,0.9999249312200882,0.1419080401252669
2,0.997491916719548,0.9977280103862383,0.9962908279016169,0.9970089012216656,0.9999615598653078,0.1181893429969635
3,0.9977185507509141,0.9966908855478023,0.9978753286038388,0.9972827553940005,0.9999722816332705,0.11559499944247388
4,0.9980660562656756,0.9979104370068812,0.9974792034282833,0.9976947736195656,0.9999796157050085,0.09484529193470938
5,0.9983229081678905,0.9987017670393076,0.9972991465303036,0.9979999639633147,0.9999842266839041,0.09009773449665281
